version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 123456789012 eni-0a1b2c3d4e5f67890 10.0.1.45 10.0.2.10 54312 443 6 12 1842 1731549240 1731549300 ACCEPT OK
2 123456789012 eni-0a1b2c3d4e5f67890 10.0.2.10 10.0.1.45 443 54312 6 10 18422 1731549240 1731549300 ACCEPT OK
2 123456789012 eni-0b2c3d4e5f678901 10.0.1.88 203.0.113.42 49201 443 6 3 420 1731549360 1731549420 ACCEPT OK
2 123456789012 eni-0b2c3d4e5f678901 203.0.113.42 10.0.1.88 443 49201 6 2 280 1731549360 1731549420 ACCEPT OK
2 123456789012 eni-0c3d4e5f67890123 10.0.1.45 54.239.28.85 52100 443 6 45 67890 1731549420 1731549480 ACCEPT OK
2 123456789012 eni-0c3d4e5f67890123 54.239.28.85 10.0.1.45 443 52100 6 40 2048000 1731549420 1731549480 ACCEPT OK
2 123456789012 eni-0d4e5f678901234 10.0.2.55 203.0.113.42 58801 443 6 1200 18547200 1731549480 1731549600 ACCEPT OK
2 123456789012 eni-0d4e5f678901234 203.0.113.42 10.0.2.55 443 58801 6 8 1240 1731549480 1731549600 ACCEPT OK
2 123456789012 eni-0e5f6789012345 10.0.3.15 10.0.3.20 32100 5432 6 88 14520 1731549600 1731549660 ACCEPT OK
2 123456789012 eni-0e5f6789012345 10.0.3.20 10.0.3.15 5432 32100 6 91 88420 1731549600 1731549660 ACCEPT OK
2 123456789012 eni-0f67890123456 10.0.2.55 198.51.100.77 44800 443 6 3400 52428800 1731549660 1731549720 ACCEPT OK
2 123456789012 eni-0f67890123456 198.51.100.77 10.0.2.55 443 44800 6 5 750 1731549660 1731549720 ACCEPT OK
2 123456789012 eni-0a1b2c3d4e5f67890 10.0.1.45 10.0.4.12 41000 8080 6 20 3200 1731549720 1731549780 ACCEPT OK
2 123456789012 eni-0a1b2c3d4e5f67890 10.0.4.12 10.0.1.45 8080 41000 6 18 28400 1731549720 1731549780 ACCEPT OK
2 123456789012 eni-0b2c3d4e5f678901 10.0.1.45 203.0.113.42 55000 9000 6 2800 43008000 1731549780 1731549900 REJECT OK
2 123456789012 eni-0c3d4e5f67890123 10.0.2.55 203.0.113.42 55100 443 6 900 13893120 1731549900 1731550020 ACCEPT OK
2 123456789012 eni-0c3d4e5f67890123 203.0.113.42 10.0.2.55 443 55100 6 4 620 1731549900 1731550020 ACCEPT OK
