#separator \x09
#set_separator ,
#empty_field (empty)
#unset_field -
#path conn
#fields ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes
#types time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count
1700001000.000000	CBeacon01	10.0.1.55	49200	185.220.101.47	443	tcp	ssl	0.318245	512	2048	SF	T	F	0	ShAdDa	6	800	4	2300
1700001300.000000	CBeacon02	10.0.1.55	49201	185.220.101.47	443	tcp	ssl	0.299871	512	2048	SF	T	F	0	ShAdDa	6	800	4	2300
1700001600.000000	CBeacon03	10.0.1.55	49202	185.220.101.47	443	tcp	ssl	0.311002	512	2048	SF	T	F	0	ShAdDa	6	800	4	2300
1700001900.000000	CBeacon04	10.0.1.55	49203	185.220.101.47	443	tcp	ssl	0.305441	512	2048	SF	T	F	0	ShAdDa	6	800	4	2300
1700002200.000000	CBeacon05	10.0.1.55	49204	185.220.101.47	443	tcp	ssl	0.308772	512	2048	SF	T	F	0	ShAdDa	6	800	4	2300
1700002500.000000	CBeacon06	10.0.1.55	49205	185.220.101.47	443	tcp	ssl	0.302110	512	2048	SF	T	F	0	ShAdDa	6	800	4	2300
1700002800.000000	CBeacon07	10.0.1.55	49206	185.220.101.47	443	tcp	ssl	0.314885	512	2048	SF	T	F	0	ShAdDa	6	800	4	2300
1700003100.000000	CBeacon08	10.0.1.55	49207	185.220.101.47	443	tcp	ssl	0.298445	512	2048	SF	T	F	0	ShAdDa	6	800	4	2300
1700003400.000000	CBeacon09	10.0.1.55	49208	185.220.101.47	443	tcp	ssl	0.307112	512	2048	SF	T	F	0	ShAdDa	6	800	4	2300
1700003700.000000	CBeacon10	10.0.1.55	49209	185.220.101.47	443	tcp	ssl	0.295881	512	2048	SF	T	F	0	ShAdDa	6	800	4	2300
1700001050.000000	CNorm01	10.0.1.62	51000	8.8.8.8	53	udp	dns	0.001245	52	88	SF	T	F	0	Dd	1	80	1	116
1700001055.000000	CNorm02	10.0.1.62	51001	93.184.216.34	80	tcp	http	1.234500	432	12400	SF	T	F	0	ShAdDa	8	720	12	13200
1700001120.000000	CNorm03	10.0.1.45	52100	151.101.64.81	443	tcp	ssl	3.401200	1200	58000	SF	T	F	0	ShAdDa	14	1800	40	60000
1700001500.000000	CNorm04	10.0.1.45	52200	151.101.64.81	443	tcp	ssl	2.882100	980	45200	SF	T	F	0	ShAdDa	11	1540	35	47000
1700002100.000000	CNorm05	10.0.1.45	52300	151.101.64.81	443	tcp	ssl	4.102300	1450	72000	SF	T	F	0	ShAdDa	16	2100	55	74000
1700003000.000000	CNorm06	10.0.1.45	52400	151.101.64.81	443	tcp	ssl	1.991000	820	38000	SF	T	F	0	ShAdDa	10	1360	30	40000
1700001200.000000	CUpdater01	10.0.1.33	60001	204.79.197.200	443	tcp	ssl	2.441000	1200	8200	SF	T	F	0	ShAdDa	10	1600	12	8800
1700001800.000000	CUpdater02	10.0.1.33	60002	204.79.197.200	443	tcp	ssl	1.882000	1100	7800	SF	T	F	0	ShAdDa	9	1500	11	8400
1700002400.000000	CUpdater03	10.0.1.33	60003	204.79.197.200	443	tcp	ssl	3.112000	1350	9200	SF	T	F	0	ShAdDa	12	1750	14	9800
1700003000.000000	CUpdater04	10.0.1.33	60004	204.79.197.200	443	tcp	ssl	2.001000	1180	8000	SF	T	F	0	ShAdDa	10	1580	12	8600
1700003600.000000	CUpdater05	10.0.1.33	60005	204.79.197.200	443	tcp	ssl	2.334000	1220	8400	SF	T	F	0	ShAdDa	11	1620	13	9000
1700003500.000000	CExfil01	10.0.1.55	49300	185.220.101.47	443	tcp	ssl	182.445002	8650000	2048	SF	T	F	0	ShAdDa	7200	8700000	6	2600
